Part ID,Type,Category,Description,Tintable,Status,Notes
handle_short,Handle,Tool,Short grip for one-handed tools,Yes,,
handle_long,Handle,Tool,Long pole for two-handed tools,Yes,,
handle_angled,Handle,Tool,Angled for hoes/rakes,Yes,,
head_pickaxe,ToolHead,Tool,Pointed mining head,Yes,,
head_axe,ToolHead,Tool,Wedge chopping blade,Yes,,
head_hoe,ToolHead,Tool,Flat farming blade,Yes,,
head_shovel,ToolHead,Tool,Scooped digging head,Yes,,
head_hammer,ToolHead,Tool,Blunt hammer face,Yes,,
head_rake,ToolHead,Tool,Multiple tines,Yes,,
blade_sword,Blade,Tool,Straight sword blade,Yes,,
blade_dagger,Blade,Tool,Short pointed blade,Yes,,
guard_cross,Guard,Tool,Crossguard for swords,Yes,,
base_box,Box,Container Base,Square/rectangular base,Yes,,
base_cylinder,Cylinder,Container Base,Round barrel/bucket shape,Yes,,
base_sphere,Sphere,Container Base,Ball/orb shape,Yes,,
base_rounded_rect,RoundedRect,Container Base,Soft rectangle (bags),Yes,,
base_jar,Jar,Container Base,Wide-mouth bottle,Yes,,
base_bottle,Bottle,Container Base,Tall narrow bottle,Yes,,
open_top,OpenTop,Container Opening,Empty opening (bucket),No,,
lid_flat,Lid,Container Opening,Flat cover,Yes,,
lid_domed,Lid,Container Opening,Rounded cover (pot),Yes,,
cork,Cork,Container Opening,Bottle stopper,Yes,,
spout,Spout,Container Opening,Pouring spout (watering can),Yes,,
nozzle,Nozzle,Container Opening,Spray/pour nozzle,Yes,,
handle_bucket,HandleTop,Container Attachment,Arc handle on top,Yes,,
handle_mug,HandleSide,Container Attachment,Side loop handle,Yes,,
strap_single,Strap,Container Attachment,One shoulder strap,Yes,,
strap_double,Strap,Container Attachment,Backpack straps,Yes,,
rope_wrap,Rope,Container Attachment,Rope binding/handle,Yes,,
spigot_tap,Spigot,Container Attachment,Barrel tap,Yes,,
station_workbench,StationBase,Station,Wooden work table,Yes,,
station_anvil,StationBase,Station,Metal anvil shape,Yes,,
station_furnace,StationBase,Station,Stone furnace body,Yes,,
station_cauldron,StationBase,Station,Large pot on legs,Yes,,
station_barrel,StationBase,Station,Barrel as workstation,Yes,,
station_frame,StationBase,Station,Open wooden frame,Yes,,
accent_fire,StationAccent,Station,Fire/glow underneath,No,,
accent_smoke,StationAccent,Station,Smoke wisp on top,No,,
plant_sprout,PlantBase,Plant,Tiny seedling,Yes,,
plant_stem_short,PlantBase,Plant,Short stem,Yes,,
plant_stem_tall,PlantBase,Plant,Tall stalk,Yes,,
plant_vine,PlantBase,Plant,Curling vine,Yes,,
plant_bush,PlantBase,Plant,Bush shape,Yes,,
top_leaves,PlantTop,Plant,Leaf cluster,Yes,,
top_flower,PlantTop,Plant,Single flower,Yes,,
top_fruit_round,PlantTop,Plant,Round fruit (tomato),Yes,,
top_fruit_long,PlantTop,Plant,Long fruit (carrot),Yes,,
top_grain,PlantTop,Plant,Wheat/grain head,Yes,,
gear_small,Gear,Machine,Small cog,Yes,,
gear_large,Gear,Machine,Large cog,Yes,,
pipe_straight,Pipe,Machine,Straight pipe segment,Yes,,
pipe_elbow,Pipe,Machine,90-degree bend,Yes,,
pipe_valve,Valve,Machine,Pipe with valve wheel,Yes,,
meter_gauge,Meter,Machine,Circular pressure gauge,Yes,,
meter_dial,Meter,Machine,Dial indicator,Yes,,
exhaust_stack,Exhaust,Machine,Smokestack,Yes,,
exhaust_vent,Exhaust,Machine,Side vent,Yes,,
belt_loop,Belt,Machine,Drive belt,Yes,,
leg_straight,Leg,Furniture,Simple straight leg,Yes,,
leg_curved,Leg,Furniture,Curved/cabriole leg,Yes,,
surface_square,Surface,Furniture,Square tabletop,Yes,,
surface_round,Surface,Furniture,Round tabletop,Yes,,
surface_shelf,Surface,Furniture,Shelf board,Yes,,
back_chair,Back,Furniture,Chair backrest,Yes,,
back_headboard,Back,Furniture,Bed headboard,Yes,,
frame_bed,Frame,Furniture,Bed frame,Yes,,
frame_cabinet,Frame,Furniture,Cabinet body,Yes,,
fabric_cushion,Fabric,Furniture,Seat cushion,Yes,,
aura_sparkle,Aura,Magic,Sparkle particles,Yes,,
aura_flame,Aura,Magic,Fire wisps,Yes,,
aura_mist,Aura,Magic,Fog/mist,Yes,,
glow_orb,Glow,Magic,Glowing center,Yes,,
glow_halo,Glow,Magic,Outer glow ring,Yes,,
rune_symbols,Rune,Magic,Magical symbols,Yes,,
